@relation localiz

@attribute a1 {A01,A02,A03,A04,A05,B01,B02,B03,B04,B05,C01,C02,C03,C04,C05,D01,D02,D03,D04,D05,E01,E02,E03,E04,E05}
@attribute a2 {010-000-024-033,020-000-033-111,020-000-032-221,010-000-030-096}
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute binaryClass {P,N}

@data
C05,010-000-030-096,6.3379E17,2.248859,2.039225,0.479396,P
D03,020-000-033-111,6.3379E17,1.050374,2.479844,0.348094,P
D03,010-000-030-096,6.3379E17,2.086619,1.935058,0.329781,P
B03,020-000-032-221,6.3379E17,2.65524,1.40713,0.627293,N
E04,010-000-024-033,6.3379E17,2.91349,1.684664,-0.196725,N
B03,020-000-032-221,6.3379E17,3.922197,0.962656,0.363234,P
E05,020-000-033-111,6.3379E17,1.188618,2.466994,0.354646,P
A04,020-000-032-221,6.3379E17,1.554182,2.277502,0.42905,P
E02,020-000-032-221,6.3379E17,4.200841,0.814262,0.376457,P
D03,010-000-030-096,6.3379E17,2.918175,1.730056,0.069962,N
E05,020-000-032-221,6.3379E17,1.293175,1.353116,0.035241,P
A03,010-000-030-096,6.3379E17,3.053161,1.495309,0.240541,N
C02,010-000-030-096,6.3379E17,3.716903,1.262487,0.459825,P
C01,010-000-030-096,6.3379E17,3.12893,2.120964,0.241757,N
B01,010-000-030-096,6.3379E17,3.615684,1.327248,0.26372,P
C05,010-000-030-096,6.3379E17,3.218335,1.318667,0.423485,N
E03,020-000-033-111,6.3379E17,3.146668,1.430352,1.296049,N
D05,020-000-033-111,6.3379E17,1.891765,1.792442,1.245515,N
C05,010-000-030-096,6.3379E17,3.062546,2.160578,0.181828,P
E01,010-000-024-033,6.3379E17,3.661803,1.068918,0.274242,N
E04,020-000-033-111,6.3379E17,2.584553,1.922794,1.30664,N
E01,010-000-024-033,6.3379E17,2.708545,1.945765,-0.026802,N
E01,020-000-032-221,6.3379E17,1.604145,2.384157,0.26758,P
B04,020-000-033-111,6.3379E17,1.233672,2.545305,0.354531,P
C01,020-000-032-221,6.3379E17,0.865681,1.524396,1.00015,N
A01,020-000-033-111,6.3379E17,1.035751,2.449866,0.368622,P
E05,010-000-030-096,6.3379E17,2.491671,2.016018,0.138837,P
E04,020-000-032-221,6.3379E17,1.790322,2.430264,-0.00025,P
E02,010-000-024-033,6.3379E17,1.661237,1.293854,-0.032394,N
C01,020-000-032-221,6.3379E17,1.735809,0.105305,0.727003,N
E02,010-000-024-033,6.3379E17,2.95155,1.910978,-0.011471,N
E04,020-000-033-111,6.3379E17,2.054052,1.678065,1.102653,N
E03,020-000-032-221,6.3379E17,3.323447,1.460538,0.955036,N
A01,010-000-030-096,6.3379E17,3.214241,1.309284,0.449847,P
B04,020-000-032-221,6.3379E17,1.764875,1.987614,0.582631,N
C02,010-000-024-033,6.3379E17,3.319599,2.06216,0.095818,N
D04,010-000-024-033,6.3379E17,4.391723,1.86589,0.455072,N
B05,010-000-024-033,6.3379E17,2.440176,1.423655,0.233822,N
E05,010-000-024-033,6.3379E17,2.999979,1.551269,-0.136668,N
A05,020-000-032-221,6.3379E17,1.656437,2.354239,0.575751,P
B02,020-000-033-111,6.3379E17,4.586136,1.212308,0.061613,P
C04,020-000-033-111,6.3379E17,1.495179,2.292235,0.039736,P
D01,020-000-033-111,6.3379E17,4.511935,1.218645,0.386336,P
C04,020-000-032-221,6.3379E17,4.230433,1.191816,0.412465,P
C04,020-000-033-111,6.3379E17,1.933679,1.81369,1.174303,N
E04,010-000-024-033,6.3379E17,3.17988,2.366175,-0.027168,N
D01,010-000-024-033,6.3379E17,2.260446,1.726227,-0.014939,N
C04,010-000-024-033,6.3379E17,3.229111,1.24552,0.157296,P
A01,020-000-033-111,6.3379E17,1.305212,1.424254,-0.470514,P
E02,020-000-032-221,6.3379E17,1.809673,1.076751,-0.038549,P
D01,010-000-030-096,6.3379E17,2.950643,2.182031,-0.041216,N
A01,010-000-030-096,6.3379E17,3.085862,2.207576,0.337603,N
C03,010-000-024-033,6.3379E17,3.299789,1.255456,0.693699,P
C05,010-000-030-096,6.3379E17,2.70144,2.404821,0.460052,P
A03,020-000-033-111,6.3379E17,4.357669,1.307508,0.6693,P
B04,020-000-033-111,6.3379E17,1.181444,2.446896,0.234656,P
C04,020-000-033-111,6.3379E17,1.802587,1.622823,1.223177,N
D02,010-000-024-033,6.3379E17,2.75326,2.165744,0.536974,P
E01,010-000-030-096,6.3379E17,3.860917,1.186025,0.214926,P
C02,020-000-032-221,6.3379E17,1.74543,2.410411,0.150954,P
E05,010-000-024-033,6.3379E17,1.750603,1.906961,-0.046103,N
E05,010-000-030-096,6.3379E17,2.778822,2.055197,0.269372,P
B03,010-000-030-096,6.3379E17,2.362515,1.983129,0.126795,N
B03,010-000-024-033,6.3379E17,3.504427,1.363331,0.690832,P
E01,020-000-033-111,6.3379E17,3.628957,1.237632,1.298193,N
E03,010-000-024-033,6.3379E17,2.781067,2.585727,0.322014,P
C01,010-000-030-096,6.3379E17,1.092216,1.259217,0.177434,P
D03,020-000-032-221,6.3379E17,4.041604,1.428788,0.351575,P
E05,010-000-024-033,6.3379E17,2.863112,2.327291,0.272322,P
C03,010-000-030-096,6.3379E17,1.176262,0.746471,-0.12734,P
B03,010-000-030-096,6.3379E17,3.489653,1.176481,0.204521,P
E02,010-000-030-096,6.3379E17,2.114544,1.296808,0.640441,N
B04,010-000-030-096,6.3379E17,2.712152,2.346542,0.570063,P
E04,020-000-032-221,6.3379E17,2.871385,2.013447,0.719936,N
E01,020-000-033-111,6.3379E17,4.726693,2.619385,0.967886,P
D02,020-000-032-221,6.3379E17,1.538771,2.05286,0.502844,P
A04,020-000-033-111,6.3379E17,4.36292,1.10673,0.52778,P
B03,010-000-030-096,6.3379E17,1.698653,1.494829,0.191083,N
D03,010-000-030-096,6.3379E17,2.765264,1.864187,-0.229879,P
E02,020-000-032-221,6.3379E17,2.138087,1.696314,0.917977,N
D05,010-000-030-096,6.3379E17,2.647443,1.990026,0.394899,P
B04,010-000-024-033,6.3379E17,3.630537,1.320969,0.495937,P
B01,020-000-032-221,6.3379E17,4.092891,1.179386,0.402934,P
E02,010-000-024-033,6.3379E17,3.57154,1.069438,0.439151,P
D02,020-000-032-221,6.3379E17,2.524148,1.870046,0.726315,N
E02,010-000-024-033,6.3379E17,3.076898,1.695549,-0.040732,N
A02,020-000-032-221,6.3379E17,1.511097,2.185293,0.041361,P
E02,010-000-030-096,6.3379E17,3.339142,1.484438,0.695673,N
D01,020-000-032-221,6.3379E17,4.003159,1.856963,1.192228,N
E05,010-000-024-033,6.3379E17,2.912092,2.327478,0.347049,P
D05,010-000-024-033,6.3379E17,2.889822,2.299374,0.516994,P
D03,010-000-024-033,6.3379E17,3.036901,1.253073,0.222223,P
C01,010-000-030-096,6.3379E17,3.385972,1.949523,0.054565,N
C02,010-000-030-096,6.3379E17,2.523203,2.653932,0.293589,P
D02,010-000-030-096,6.3379E17,2.223655,1.575956,-0.163953,N
E04,010-000-030-096,6.3379E17,3.403403,1.39886,0.513486,P
A04,020-000-032-221,6.3379E17,1.782678,2.383896,0.311679,P
B04,010-000-030-096,6.3379E17,2.445249,1.441675,0.062884,N
A05,020-000-033-111,6.3379E17,1.258936,2.530659,0.403097,P
D02,020-000-032-221,6.3379E17,3.970604,1.570104,0.56279,P
C03,020-000-033-111,6.3379E17,4.444592,1.357393,0.40368,P
B02,010-000-024-033,6.3379E17,2.728838,1.610447,-0.023997,N
E04,010-000-024-033,6.3379E17,3.117803,1.803604,-0.050372,N
E01,010-000-030-096,6.3379E17,2.345962,2.000423,0.410085,P
A01,010-000-030-096,6.3379E17,2.432873,2.224549,0.369349,P
B05,010-000-030-096,6.3379E17,3.228224,1.082248,0.186882,P
B02,010-000-030-096,6.3379E17,3.564391,1.431906,0.126045,P
D03,010-000-030-096,6.3379E17,2.05491,1.641259,0.152396,P
C03,020-000-033-111,6.3379E17,4.489929,1.332685,0.361235,P
A05,010-000-024-033,6.3379E17,3.432583,1.472147,0.255437,P
C01,020-000-032-221,6.3379E17,1.469664,1.798629,0.26246,P
E03,010-000-030-096,6.3379E17,2.356283,2.115891,0.303658,P
D04,020-000-032-221,6.3379E17,3.784666,1.087147,0.062595,P
D05,020-000-032-221,6.3379E17,2.883141,1.859012,0.824168,N
B02,020-000-032-221,6.3379E17,4.337881,1.090031,0.40481,P
C04,010-000-024-033,6.3379E17,2.76984,2.363863,0.187608,P
A04,010-000-030-096,6.3379E17,2.836058,2.772334,0.388988,P
A05,010-000-024-033,6.3379E17,2.07923,2.531906,0.297672,P
D03,010-000-030-096,6.3379E17,2.820088,2.334153,0.443537,P
C02,020-000-033-111,6.3379E17,4.594625,1.90751,0.286717,P
E05,010-000-024-033,6.3379E17,3.369975,1.938264,0.050485,N
A01,010-000-030-096,6.3379E17,2.411649,2.317638,0.26556,P
E01,010-000-024-033,6.3379E17,4.077243,1.335552,0.655209,P
B04,010-000-024-033,6.3379E17,2.684664,2.569695,0.391987,P
E03,010-000-030-096,6.3379E17,2.693774,1.911733,0.059263,P
E01,010-000-030-096,6.3379E17,2.49874,2.203138,0.365218,P
C05,020-000-032-221,6.3379E17,2.719666,1.587711,0.949399,N
A03,020-000-032-221,6.3379E17,2.476444,1.584216,0.84176,N
C05,010-000-030-096,6.3379E17,2.410647,2.168046,0.439789,P
C01,010-000-030-096,6.3379E17,4.70224,2.119492,0.317531,N
B04,020-000-033-111,6.3379E17,3.270007,2.24795,0.457309,P
B02,010-000-024-033,6.3379E17,1.661195,1.919033,-0.073182,N
D04,010-000-024-033,6.3379E17,2.868393,2.282617,0.490129,N
C05,010-000-024-033,6.3379E17,3.014613,1.526268,0.445728,P
E04,010-000-030-096,6.3379E17,2.179925,1.765531,0.415625,N
E01,010-000-024-033,6.3379E17,4.037014,1.210987,0.483842,N
C04,010-000-024-033,6.3379E17,2.301052,1.778374,0.32355,N
A05,020-000-032-221,6.3379E17,3.876761,1.972931,1.142082,N
E03,020-000-032-221,6.3379E17,3.378261,1.77996,0.880273,N
C04,020-000-033-111,6.3379E17,3.360122,2.170291,1.182816,N
B01,020-000-032-221,6.3379E17,2.903252,2.097942,0.875736,N
A05,020-000-032-221,6.3379E17,4.17366,1.104943,0.315811,P
B05,020-000-033-111,6.3379E17,1.627211,1.700627,1.108775,N
C03,010-000-030-096,6.3379E17,2.577335,2.209661,0.428026,P
E04,010-000-024-033,6.3379E17,2.320438,1.454931,-0.11852,N
D02,020-000-033-111,6.3379E17,1.048725,2.274438,0.265804,P
D03,010-000-030-096,6.3379E17,2.708751,2.099009,0.302903,P
E01,010-000-030-096,6.3379E17,4.176722,1.173462,0.438961,P
D03,010-000-024-033,6.3379E17,2.621351,1.186853,0.125392,P
B03,010-000-024-033,6.3379E17,3.478131,1.392573,0.544194,P
D04,010-000-024-033,6.3379E17,2.486587,2.697981,0.533908,P
C03,010-000-030-096,6.3379E17,3.382344,1.898281,0.042213,N
D04,010-000-024-033,6.3379E17,2.920272,2.200926,0.526089,P
C02,020-000-032-221,6.3379E17,3.592265,1.997131,0.977413,N
E05,020-000-033-111,6.3379E17,0.08846,3.308598,2.5329,N
D02,010-000-024-033,6.3379E17,2.646854,2.606548,0.415469,P
B01,020-000-032-221,6.3379E17,4.357204,1.316575,0.612588,P
A01,010-000-030-096,6.3379E17,2.200992,2.677892,0.400144,P
E01,020-000-032-221,6.3379E17,4.963655,1.049157,-0.033248,P
C04,010-000-024-033,6.3379E17,2.745728,2.477293,0.481694,P
B04,010-000-030-096,6.3379E17,2.991601,0.812429,0.094876,P
B02,010-000-030-096,6.3379E17,2.057836,2.155434,0.290075,N
B01,020-000-032-221,6.3379E17,1.533221,2.406527,0.488242,P
E03,020-000-033-111,6.3379E17,4.456228,1.931623,1.432362,N
E01,020-000-033-111,6.3379E17,3.210777,0.911965,0.331836,P
B03,010-000-024-033,6.3379E17,3.519943,1.336493,0.423864,P
A03,010-000-024-033,6.3379E17,2.465191,1.699852,0.100471,N
D02,020-000-032-221,6.3379E17,3.969967,1.291909,0.415706,P
A04,010-000-030-096,6.3379E17,2.847319,2.799773,0.286901,P
A04,010-000-030-096,6.3379E17,3.031332,1.390896,0.448351,P
B02,020-000-032-221,6.3379E17,2.56469,1.57337,0.955722,N
D03,010-000-030-096,6.3379E17,2.770841,1.938138,-0.099665,P
E05,010-000-024-033,6.3379E17,3.250212,1.543574,0.450108,P
E02,020-000-033-111,6.3379E17,2.955801,2.00501,1.206023,N
E01,010-000-024-033,6.3379E17,2.954674,2.121001,0.020269,N
E01,020-000-033-111,6.3379E17,1.087222,2.224773,0.249393,P
E02,010-000-030-096,6.3379E17,2.471493,2.471854,0.621972,P
C03,010-000-030-096,6.3379E17,3.605526,2.157043,0.189718,N
D05,020-000-032-221,6.3379E17,2.681274,1.423147,0.717706,N
A03,010-000-030-096,6.3379E17,2.946836,1.657985,-0.156774,N
A01,020-000-033-111,6.3379E17,3.584622,1.848978,1.210734,N
D02,020-000-032-221,6.3379E17,1.532049,2.023234,0.377245,P
D01,020-000-033-111,6.3379E17,1.994795,1.975717,1.172368,N
D03,020-000-032-221,6.3379E17,3.871023,1.542352,0.275783,P
C02,020-000-032-221,6.3379E17,3.604908,1.851363,0.806245,N
B04,010-000-024-033,6.3379E17,3.449084,1.272856,0.59986,P
D05,010-000-024-033,6.3379E17,2.744146,1.579919,-0.112406,N
B03,010-000-030-096,6.3379E17,3.096775,1.861324,0.145643,N
C02,010-000-024-033,6.3379E17,2.744883,2.530921,0.621821,P
D05,020-000-032-221,6.3379E17,3.47193,1.423388,0.446764,P
B02,020-000-032-221,6.3379E17,3.970845,1.47137,0.01734,P
E02,010-000-030-096,6.3379E17,1.766845,2.01026,0.178269,N
B04,010-000-024-033,6.3379E17,2.040822,1.582535,0.110062,N
B01,010-000-024-033,6.3379E17,3.112933,1.249754,-0.302901,N
C02,010-000-030-096,6.3379E17,2.645717,2.454875,0.523959,P
A04,010-000-030-096,6.3379E17,1.882048,1.226137,-0.002748,N
B05,020-000-032-221,6.3379E17,2.489856,1.20255,0.186475,P
E04,010-000-030-096,6.3379E17,2.804869,2.436149,0.271213,P
E05,010-000-024-033,6.3379E17,3.555984,1.796013,0.140865,P
C05,010-000-024-033,6.3379E17,2.89441,1.295083,0.297655,N
D02,020-000-033-111,6.3379E17,2.85144,2.436824,1.396528,N
C03,010-000-024-033,6.3379E17,2.541364,1.992632,0.327158,N
D03,010-000-030-096,6.3379E17,2.559432,1.896973,0.210823,P
C02,010-000-024-033,6.3379E17,2.75108,2.447964,0.21964,P
C01,010-000-024-033,6.3379E17,2.609844,2.352903,0.370349,P
A04,020-000-032-221,6.3379E17,3.033891,1.749141,0.565433,N
A02,010-000-024-033,6.3379E17,3.58614,1.483294,0.313865,P
A03,010-000-030-096,6.3379E17,2.464778,2.505309,0.614162,P
C04,010-000-024-033,6.3379E17,3.901511,1.738553,0.351206,N
B05,010-000-024-033,6.3379E17,3.30708,1.436228,0.413771,P
A04,020-000-032-221,6.3379E17,2.802297,1.842115,0.559659,N
A03,020-000-033-111,6.3379E17,4.55587,1.209071,0.187832,P
E05,010-000-024-033,6.3379E17,1.992359,1.242823,-0.125055,N
E03,010-000-024-033,6.3379E17,2.205272,1.971578,0.212325,N
C04,020-000-032-221,6.3379E17,3.637487,2.463228,1.180376,P
B02,010-000-030-096,6.3379E17,3.564806,1.397574,0.030019,P
C01,020-000-032-221,6.3379E17,1.663265,2.362859,0.247261,P
E02,010-000-024-033,6.3379E17,3.527974,1.293861,0.625223,N
B03,020-000-033-111,6.3379E17,1.389655,2.597828,0.372823,P
D03,020-000-032-221,6.3379E17,1.61364,1.958275,0.107036,P
C04,010-000-030-096,6.3379E17,3.412321,1.007381,0.123918,P
A02,020-000-032-221,6.3379E17,2.769308,1.423932,1.054038,N
D03,020-000-032-221,6.3379E17,2.640917,1.737344,0.851098,N
C02,010-000-024-033,6.3379E17,3.412442,1.914772,0.243726,P
C01,010-000-024-033,6.3379E17,1.264025,1.324484,-0.162226,N
D03,010-000-024-033,6.3379E17,2.955221,2.152872,-0.125228,P
A05,010-000-030-096,6.3379E17,3.500055,1.669492,0.35044,P
B03,010-000-024-033,6.3379E17,1.755102,1.736092,-0.059538,N
E03,020-000-033-111,6.3379E17,3.346268,2.186457,0.198173,P
E04,010-000-030-096,6.3379E17,3.389288,1.390574,0.411979,P
A04,020-000-032-221,6.3379E17,4.256062,1.992367,1.206156,N
B03,010-000-024-033,6.3379E17,1.405241,1.158761,1.389771,N
D01,010-000-030-096,6.3379E17,2.686413,1.788922,0.471023,N
E03,020-000-033-111,6.3379E17,4.369973,1.266097,0.652407,P
B01,010-000-030-096,6.3379E17,3.642087,1.274858,0.23796,P
A02,010-000-024-033,6.3379E17,1.906454,1.489054,0.714717,P
E05,020-000-032-221,6.3379E17,3.086628,2.144619,1.086151,N
D03,010-000-030-096,6.3379E17,2.916902,1.727894,0.059244,N
A03,020-000-033-111,6.3379E17,1.205058,2.255621,0.431644,P
E03,010-000-030-096,6.3379E17,2.229508,1.216312,0.322529,N
D03,020-000-032-221,6.3379E17,1.626244,2.345176,0.298294,P
E01,010-000-024-033,6.3379E17,3.985262,1.228891,0.064052,P
C01,010-000-024-033,6.3379E17,3.31571,1.609124,0.068041,P
B05,010-000-024-033,6.3379E17,1.296068,1.311796,0.098713,N
D02,010-000-024-033,6.3379E17,3.961122,1.676167,0.643845,N
E01,010-000-024-033,6.3379E17,3.815672,1.540993,0.26378,P
C01,010-000-030-096,6.3379E17,2.507694,2.506605,0.556817,P
B04,020-000-033-111,6.3379E17,4.302742,1.118511,-0.060213,P
B01,020-000-033-111,6.3379E17,1.452865,2.501734,0.304908,P
C04,020-000-033-111,6.3379E17,4.656625,1.443752,0.322324,P
D02,010-000-024-033,6.3379E17,3.069804,1.231051,0.51693,P
E03,010-000-030-096,6.3379E17,2.994521,1.387691,0.371205,N
B04,020-000-032-221,6.3379E17,1.630431,2.29352,0.516022,P
C05,020-000-032-221,6.3379E17,4.292914,1.367666,0.066853,P
E05,010-000-024-033,6.3379E17,2.923512,2.41914,0.274524,P
A05,010-000-030-096,6.3379E17,2.342746,1.989568,0.409152,P
B01,010-000-024-033,6.3379E17,2.772808,2.261635,0.478363,P
D05,020-000-033-111,6.3379E17,1.113235,2.289426,0.447452,P
B04,020-000-033-111,6.3379E17,4.787811,1.459164,0.440724,P
A02,020-000-033-111,6.3379E17,3.066579,1.463582,1.265701,N
D01,020-000-032-221,6.3379E17,1.651924,1.399352,-0.146259,P
E05,010-000-030-096,6.3379E17,3.444411,1.756945,0.491112,P
D05,020-000-033-111,6.3379E17,3.88245,1.947958,1.269177,N
C01,010-000-024-033,6.3379E17,2.566802,2.252421,0.422991,P
A05,020-000-032-221,6.3379E17,3.033618,1.759434,0.696773,N
C03,010-000-030-096,6.3379E17,1.114645,1.670328,0.769584,N
E02,010-000-024-033,6.3379E17,1.781655,1.969703,0.081945,N
D03,010-000-024-033,6.3379E17,3.059177,1.864259,-0.181857,P
D05,020-000-033-111,6.3379E17,1.97818,1.469047,1.416397,N
A03,020-000-033-111,6.3379E17,4.572097,1.216196,0.234474,P
A03,020-000-033-111,6.3379E17,4.290233,1.228946,0.177829,P
E01,020-000-032-221,6.3379E17,2.096049,1.565404,0.876702,N
D04,010-000-024-033,6.3379E17,2.534025,1.638812,0.178352,N
D02,010-000-030-096,6.3379E17,3.533031,1.729766,0.110454,P
E04,010-000-030-096,6.3379E17,2.619913,2.459776,0.475237,P
C03,020-000-032-221,6.3379E17,2.337254,1.402146,0.849595,N
B05,020-000-032-221,6.3379E17,2.348974,1.808598,0.722932,N
E03,010-000-030-096,6.3379E17,2.511753,2.423705,0.453133,P
A03,020-000-032-221,6.3379E17,1.512742,2.235494,0.426276,P
C03,020-000-033-111,6.3379E17,1.074305,2.579642,0.412114,P
B05,010-000-030-096,6.3379E17,3.362953,0.934615,0.226077,P
E03,020-000-033-111,6.3379E17,1.05181,2.359259,0.290924,P
B04,020-000-033-111,6.3379E17,1.248174,2.485029,0.378438,P
C03,010-000-030-096,6.3379E17,1.170103,0.730045,0.042515,P
A05,020-000-033-111,6.3379E17,4.507843,1.232155,0.356547,P
A04,010-000-030-096,6.3379E17,2.114097,0.379625,-0.367586,P
A05,020-000-032-221,6.3379E17,3.788876,0.908259,0.672491,P
A02,020-000-032-221,6.3379E17,2.629071,1.572822,0.898208,N
E02,020-000-032-221,6.3379E17,4.446233,1.413935,0.137624,P
A01,010-000-024-033,6.3379E17,2.32212,1.95252,-0.008059,P
E04,020-000-033-111,6.3379E17,4.710755,1.123908,-0.09866,P
B04,010-000-024-033,6.3379E17,2.740306,2.42338,0.408785,P
E03,020-000-032-221,6.3379E17,1.484688,2.013953,0.213241,P
D02,010-000-024-033,6.3379E17,2.496536,3.172675,0.681188,P
B05,010-000-024-033,6.3379E17,2.857817,2.04603,-0.144416,N
D02,010-000-024-033,6.3379E17,2.736428,2.152095,0.456419,P
E05,020-000-033-111,6.3379E17,1.254011,2.417839,0.451308,P
E05,010-000-024-033,6.3379E17,1.999696,1.772785,0.423586,N
E03,010-000-030-096,6.3379E17,3.673468,1.942747,0.121305,P
B03,010-000-030-096,6.3379E17,1.818315,1.81028,0.122883,N
E02,010-000-030-096,6.3379E17,3.660996,1.341488,0.25237,P
D04,020-000-033-111,6.3379E17,1.287877,2.481843,0.237154,P
C03,010-000-030-096,6.3379E17,2.284246,1.987123,0.29729,P
E02,020-000-033-111,6.3379E17,2.955801,2.00501,1.206023,N
A03,020-000-033-111,6.3379E17,3.040519,1.621772,1.040859,N
C03,010-000-024-033,6.3379E17,1.276198,0.950339,0.139779,P
B04,010-000-024-033,6.3379E17,2.816595,2.643114,0.33505,P
B02,020-000-032-221,6.3379E17,2.31147,1.692856,0.748752,N
D03,010-000-030-096,6.3379E17,2.524005,1.84519,0.126328,N
B05,010-000-030-096,6.3379E17,2.424976,2.326501,0.484624,P
E01,020-000-032-221,6.3379E17,3.069714,2.219916,0.853107,N
B02,010-000-030-096,6.3379E17,2.268049,1.053614,-0.023566,N
C02,020-000-032-221,6.3379E17,3.971835,1.702433,0.164297,P
E01,010-000-024-033,6.3379E17,4.047864,1.569331,0.190536,P
E03,010-000-024-033,6.3379E17,2.76606,2.588251,0.35276,P
D04,010-000-024-033,6.3379E17,2.80368,2.326609,0.482486,P
E03,020-000-032-221,6.3379E17,3.250112,2.159533,0.37071,P
A05,020-000-032-221,6.3379E17,1.466437,2.036516,0.560401,P
D05,010-000-024-033,6.3379E17,3.062557,1.258468,0.585713,P
E04,010-000-024-033,6.3379E17,2.828207,2.275038,0.368964,P
B04,010-000-024-033,6.3379E17,2.133081,2.026894,-0.454084,P
A04,020-000-032-221,6.3379E17,4.324967,1.447819,0.624786,P
C03,020-000-032-221,6.3379E17,4.278621,1.662459,0.461809,P
E01,010-000-030-096,6.3379E17,2.506515,2.410116,0.540097,P
E03,020-000-032-221,6.3379E17,1.531917,2.267335,0.411487,P
E03,020-000-032-221,6.3379E17,3.396258,2.350918,1.16632,P
E02,020-000-033-111,6.3379E17,4.647261,1.425876,0.368166,P
E04,010-000-030-096,6.3379E17,2.150592,1.167122,0.001388,N
E01,010-000-024-033,6.3379E17,3.871557,1.420163,0.510367,P
D05,010-000-024-033,6.3379E17,2.723324,2.417592,0.427672,P
E05,010-000-024-033,6.3379E17,1.903791,1.310094,-0.129785,N
E01,010-000-024-033,6.3379E17,3.403625,1.283175,0.126915,N
C04,010-000-030-096,6.3379E17,2.969744,1.325339,0.155044,N
B04,010-000-024-033,6.3379E17,2.078167,1.465869,0.360175,P
C01,010-000-030-096,6.3379E17,2.530001,2.411791,0.454135,P
B01,020-000-033-111,6.3379E17,0.105674,3.288267,2.526909,N
B04,010-000-030-096,6.3379E17,2.807318,2.211564,0.495756,P
E01,010-000-024-033,6.3379E17,2.695978,2.596117,0.629218,P
E02,010-000-024-033,6.3379E17,2.679745,2.574188,0.48104,P
C01,010-000-030-096,6.3379E17,2.524666,2.424334,0.445879,P
D05,010-000-024-033,6.3379E17,3.394517,1.69087,0.491545,P
A03,010-000-024-033,6.3379E17,2.658756,2.620194,0.550218,P
A01,010-000-024-033,6.3379E17,1.804495,1.892746,0.21954,N
B03,010-000-030-096,6.3379E17,2.74951,2.330932,0.486697,P
B04,010-000-024-033,6.3379E17,3.646858,1.327713,0.501388,P
E05,020-000-032-221,6.3379E17,4.211823,1.280519,0.124028,P
B01,020-000-032-221,6.3379E17,4.274354,1.39153,0.024104,P
C03,020-000-032-221,6.3379E17,2.161425,1.714118,0.867295,N
A03,010-000-024-033,6.3379E17,3.497503,1.092201,0.458657,P
E01,020-000-033-111,6.3379E17,2.880711,1.838948,1.286112,N
C01,010-000-030-096,6.3379E17,2.378936,2.184182,0.519971,P
C04,020-000-033-111,6.3379E17,4.597316,1.172209,0.23062,P
C05,010-000-030-096,6.3379E17,3.085406,1.402008,0.491786,N
E04,020-000-033-111,6.3379E17,3.199695,1.945655,1.10622,N
D05,020-000-033-111,6.3379E17,3.8706,1.566933,0.499637,P
B02,010-000-030-096,6.3379E17,2.530888,2.004845,0.327087,P
C03,020-000-032-221,6.3379E17,1.874867,2.515664,0.264251,P
B03,020-000-032-221,6.3379E17,4.21772,1.332452,0.356078,P
B04,020-000-033-111,6.3379E17,1.202099,2.431875,0.473219,P
C05,010-000-030-096,6.3379E17,2.607142,1.989625,0.01946,N
C03,010-000-030-096,6.3379E17,3.289976,0.756223,0.072408,P
B03,020-000-032-221,6.3379E17,3.902736,0.846109,0.329656,P
