@relation smiley

@attribute x.x4 numeric
@attribute x.V2 numeric
@attribute classes {1,2,3,4}

@data
0.894739,0.991032,2
0.785222,0.987725,2
0.952421,0.915265,2
0.807686,0.964125,2
0.795299,1.045131,2
0.762868,0.989964,2
0.716605,0.841727,2
0.809859,1.002096,2
0.899675,1.027397,2
0.744771,1.19779,2
0.824305,1.1101,2
0.781297,0.892701,2
0.891341,0.922799,2
0.953406,0.831369,2
0.878699,1.085375,2
0.627024,0.986209,2
0.718438,1.059852,2
0.555283,0.847871,2
0.978837,0.854908,2
0.825608,1.064535,2
0.74813,0.923179,2
0.839527,0.984367,2
0.723396,1.0114,2
0.84288,0.870465,2
0.682069,1.071947,2
0.783342,0.891445,2
0.994379,0.895645,2
0.625827,1.069539,2
0.926823,1.007833,2
0.707498,0.951497,2
0.833935,0.829572,2
0.895452,0.897285,2
0.825388,1.102011,2
0.838206,1.032699,2
0.8467,0.901586,2
0.973854,1.090441,2
0.697242,0.899515,2
0.74939,1.088224,2
0.782965,0.961734,2
0.860264,1.081303,2
0.72957,0.963454,2
0.689574,0.952585,2
0.872902,0.912066,2
0.857947,1.038333,2
0.864488,0.93304,2
0.766349,1.09818,2
0.786436,0.966376,2
0.900683,0.888992,2
0.70142,1.21009,2
0.654226,0.957406,2
0.785502,0.955112,2
0.839173,1.010272,2
0.907303,0.918307,2
0.766289,1.150926,2
0.860175,0.891223,2
0.690555,0.903074,2
0.545667,0.921058,2
0.860319,1.042095,2
-0.167185,0.011755,3
0.035723,0.608686,3
0.051999,0.627435,3
0.057963,0.650182,3
0.062695,0.411939,3
-0.129802,0.186758,3
0.064934,0.574621,3
0.029103,0.508704,3
-0.043128,0.633824,3
-0.066449,0.172703,3
0.161227,0.162043,3
0.0051,0.37612,3
0.076492,0.582531,3
0.085696,0.359658,3
0.163008,0.064412,3
-0.055154,0.368178,3
0.059248,0.049195,3
-0.113709,0.083515,3
0.050265,0.725596,3
-0.043521,0.403659,3
-0.044692,0.667218,3
0.094058,0.525608,3
-0.062478,0.047331,3
-0.024244,0.592675,3
-0.079417,0.434904,3
-0.008166,0.431803,3
-0.02292,0.629995,3
0.091679,0.321076,3
-0.111105,0.151923,3
-0.150408,0.079999,3
-0.082885,0.523848,3
0.158357,0.047444,3
0.005196,0.742222,3
-0.058891,0.699038,3
-0.022586,0.582342,3
-0.001321,0.382606,3
0.073372,0.609675,3
-0.089012,0.369515,3
0.033008,0.634676,3
0.066119,0.273603,3
-0.055508,0.352301,3
0.04572,0.581705,3
-0.079787,0.278096,3
0.062849,0.126163,3
-0.030517,0.707184,3
-0.150304,0.218305,3
0.00889,0.275342,3
0.033332,0.237195,3
0.016132,0.747051,3
-0.004722,0.153143,3
-0.049865,0.539133,3
-0.006202,0.321278,3
-0.021909,0.643864,3
-0.051041,0.656865,3
0.041307,0.256664,3
0.063625,0.594956,3
0.048654,0.29579,3
0.125466,0.087937,3
0.027075,0.63013,3
-0.050563,0.592137,3
-0.079787,0.391668,3
0.024617,0.333361,3
0.019638,0.695036,3
-0.056737,0.336955,3
0.130313,0.015402,3
-0.071272,0.57201,3
-0.045075,0.527022,3
0.030346,0.738602,3
0.010398,0.652281,3
0.119571,0.214253,3
0.087149,0.456099,3
0.188192,0.00541,3
0.040158,0.738342,3
-0.027352,0.402095,3
0.090187,0.171941,3
0.011556,0.508409,3
0.077442,0.436977,3
0.033612,0.721861,3
-0.046541,0.117736,3
-0.115044,0.056176,3
-0.136186,0.154634,3
0.100076,0.465411,3
0.03581,0.727974,3
0.022277,0.463838,3
0.045652,0.741387,3
-0.02174,0.175903,3
-0.071873,0.15387,3
0.09941,0.340128,3
-0.046381,0.41068,3
-0.05634,0.425458,3
0.000807,0.454352,3
0.007338,0.087627,3
0.05478,0.635979,3
-0.005632,0.320158,3
-0.054756,0.21057,3
-0.007873,0.398264,3
-0.005996,0.552813,3
0.117559,0.190046,3
-0.000087,0.741416,3
-0.000201,0.498543,3
0.65351,-0.57973,4
0.249073,-0.918256,4
0.451363,-0.774388,4
0.109383,-1.016519,4
0.437287,-0.76945,4
0.686555,-0.499239,4
0.758631,-0.405701,4
-0.475623,-0.743941,4
-0.990738,-0.037499,4
0.689776,-0.409419,4
0.368158,-0.856401,4
-0.848166,-0.22461,4
-0.138456,-0.99671,4
-0.527745,-0.69389,4
-0.300889,-0.886402,4
-0.161427,-0.951024,4
-0.756755,-0.438007,4
0.622452,-0.594598,4
-0.052682,-1.101974,4
0.630326,-0.609212,4
0.507696,-0.687791,4
0.53355,-0.71825,4
-0.926907,-0.114408,4
0.842576,-0.264129,4
0.656773,-0.645933,4
-0.555923,-0.68477,4
-0.078464,-1.014775,4
-0.691751,-0.498152,4
0.722807,-0.537337,4
-0.111451,-1.004279,4
0.96419,-0.081716,4
-0.734421,-0.533271,4
-0.164698,-0.898312,4
0.837617,-0.317194,4
0.62806,-0.605044,4
0.659372,-0.56642,4
-0.052215,-0.92512,4
-0.383271,-0.864938,4
-0.911176,-0.24203,4
-0.317545,-0.908227,4
0.750244,-0.479158,4
-0.746199,-0.4563,4
0.073768,-0.950885,4
0.404483,-0.811471,4
0.81695,-0.3164,4
-0.454099,-0.818844,4
0.009545,-0.93302,4
-0.838545,-0.201751,4
0.003374,-1.055644,4
-0.450126,-0.82924,4
0.806888,-0.376153,4
-0.590035,-0.665667,4
-0.41129,-0.776759,4
0.730078,-0.48294,4
0.371839,-0.778569,4
-0.884426,-0.170443,4
-0.215174,-0.965862,4
-0.905329,-0.121542,4
-0.664298,-0.487071,4
-0.747487,-0.447137,4
-0.48974,-0.654285,4
-0.547512,-0.684339,4
-0.205505,-0.893038,4
0.934312,-0.059956,4
0.188986,-1.012576,4
0.663655,-0.619449,4
0.705711,-0.596234,4
0.666766,-0.547567,4
0.017304,-0.959929,4
-0.787117,-0.359207,4
0.544734,-0.717823,4
0.075536,-1.009572,4
0.342691,-0.909347,4
-0.730654,-0.511754,4
-0.163222,-0.998801,4
0.39895,-0.737201,4
-0.577939,-0.708459,4
-0.683949,-0.528225,4
-0.215925,-0.91319,4
0.681647,-0.55044,4
0.995206,0.049909,4
-0.777257,-0.400098,4
-0.629701,-0.629675,4
-0.423549,-0.861897,4
0.701416,-0.457021,4
0.198685,-0.87848,4
0.364465,-0.943355,4
0.038843,-1.002537,4
-0.240002,-0.9727,4
-0.676991,-0.544141,4
0.967724,-0.105395,4
0.165852,-0.950374,4
0.708387,-0.544112,4
0.318083,-0.947317,4
0.002064,-1.020071,4
-0.609098,-0.660154,4
-0.921417,-0.157519,4
-0.526857,-0.688962,4
0.901318,-0.124728,4
0.305753,-0.909747,4
0.6391,-0.562476,4
-0.273003,-0.958284,4
0.44492,-0.856959,4
0.578825,-0.650427,4
0.479975,-0.837031,4
-0.390948,-0.861234,4
0.307657,-0.876317,4
0.701694,-0.528139,4
0.734009,-0.461605,4
0.998222,-0.116211,4
0.408913,-0.808063,4
-0.535126,-0.681956,4
0.455255,-0.853641,4
0.221403,-0.938848,4
-0.767851,-0.373917,4
-0.453204,-0.835661,4
-0.1153,-1.07561,4
0.859985,-0.247939,4
0.955213,-0.04004,4
0.739749,-0.501439,4
-0.577563,-0.651351,4
0.346102,-0.818986,4
-0.559249,-0.747175,4
-0.768498,-0.332775,4
-0.524239,-0.781537,4
-0.680067,-0.56568,4
0.786059,-0.318207,4
-0.517848,-0.635469,4
0.554146,-0.732264,4
-0.55291,-0.645444,4
-0.721074,-0.493433,4
0.304553,-0.999252,4
-0.132769,-0.925723,4
0.148552,-1.051185,4
-0.657944,-0.632163,4
-0.569106,-0.658206,4
0.804747,-0.416531,4
0.517771,-0.694559,4
0.993617,-0.070854,4
-0.411516,-0.823071,4
-0.68613,-0.445215,4
-0.103387,-1.008442,4
-0.937577,-0.142302,4
-0.796182,-0.318083,4
-0.101459,-1.067558,4
-0.55484,-0.67146,4
0.084224,-1.018827,4
-0.531333,-0.715927,4
0.974461,-0.031024,4
0.992894,-0.002199,4
0.840753,-0.307229,4
0.753815,-0.440385,4
-0.805605,-0.328798,4
-0.175977,-0.935014,4
0.76048,-0.373103,4
-0.946724,-0.076972,4
-0.972828,0.004936,4
-0.866524,-0.12683,4
0.167632,-1.001078,4
0.495855,-0.63529,4
0.211832,-0.932185,4
0.510851,-0.733959,4
-0.421368,-0.763792,4
0.513086,-0.752414,4
0.188819,-0.988213,4
0.728228,-0.519761,4
